layer_id,layer_name,layer_description,layer_group,layer_role,source_org,source_dataset_name,source_url,source_created_at,source_updated_at,source_license,source_contact,metadata_verified_at,metadata_verified_by,storage_type,canonical_storage_uri,app_fetch_uri,data_format,scope,sirap_id,region_key,required_for_solution,in_use_now,selectable_in_finder,visible_in_map_layers,current_status,release_priority,target_app_surface,notes,scope_tags,metadata_status,validated_at,validated_by,selected_for_release
COST_HF_2030,Human Footprint 2030,Shows projected human pressure on landscapes in 2030; higher values indicate higher pressure.,cost,cost_surface,Humboldt (IAvH),unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/costs/human_footprint_2030.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,high,solution-finder,Required baseline cost layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
COST_NET_BENEFIT,Net Benefit (Renta Agropecuaria),Shows potential agricultural net benefit; higher values indicate higher opportunity cost for conservation.,cost,cost_surface,Humboldt (IAvH),unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/costs/net_benefit.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,high,solution-finder,Required baseline cost layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
COST_CONFLICT,Conflict (Coca + Deaths),Shows conflict intensity based on coca and violence indicators to represent social risk and implementation difficulty.,cost,cost_surface,UNODC / Government,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/costs/conflict.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,high,solution-finder,Required baseline cost layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
INCL_RUNAP,Protected Areas (RUNAP 2023),Protected areas from RUNAP (2023) that are treated as already conserved in planning outputs.,includes_excludes,include,PNNC / RUNAP,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/includes_excludes/runap_protected_areas.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,high,solution-finder,Always-on include for current scenarios,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
INCL_COMUNIDADES,Afro-Colombian Communities,Afro-Colombian community territories that can be included in planning and visualization.,includes_excludes,include,ANT,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/includes_excludes/comunidades.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,medium,solution-finder,Optional include currently exposed in UI,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
INCL_OMECS,OMECs (raster),Other Effective Conservation Measures (OMECs) recognized for conservation outcomes outside formal protected areas.,includes_excludes,include,WDPA / Protected Planet,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/includes_excludes/omecs.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,medium,solution-finder,Optional include currently exposed in UI,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
FEAT_SPECIES_RICHNESS,Species Richness (Ecosistemas),Biodiversity richness surface summarizing ecosystem-level species richness across the country.,features,ecosystem_feature,Humboldt (BioModelos),unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/ecosystems/ecosistemas.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,high,solution-finder,Core feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
FEAT_PARAMOS,Paramos,Paramos ecosystems layer representing high-altitude habitats important for biodiversity and water regulation.,features,strategic_feature,Humboldt (IAvH),unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/strategic/paramos.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,high,solution-finder,Strategic ecosystem feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
FEAT_MANGROVES,Mangroves (INVEMAR),Mangrove ecosystems layer representing coastal habitats important for biodiversity and shoreline protection.,features,strategic_feature,INVEMAR,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/strategic/mangroves.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,high,solution-finder,Strategic ecosystem feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
FEAT_WETLANDS,Wetlands (Humedales),Wetlands ecosystems layer representing habitats important for water storage and biodiversity.,features,strategic_feature,IDEAM,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/strategic/humedales.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,high,solution-finder,Strategic ecosystem feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
FEAT_DRY_FOREST,Dry Forest (Bosque Seco),Dry forest ecosystems layer representing threatened habitats with high conservation importance.,features,strategic_feature,IDEAM,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/strategic/bosque_seco.tif,unknown,GeoTIFF,nacional,,all,true,true,true,true,available,high,solution-finder,Strategic ecosystem feature layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,true
