#,Component / Report,Metric Name,Level I - Category,Description,Units,Data Source Present,Required Input(s),Asset Status,Calculation,Visualization,Desirability,Also Appears In / Rationale,Verdict,Notes,
1,4.4.1 Solution Overview,Conservation Goals Met,1. General,Count/percentage of conservation targets achieved by the solution,Count and %,,Prioritizr solution output,✅ System-generated,COUNT(targets where achieved >= goal) / Total targets × 100,Visual checkmarks (✓/✗),Pending,"Trade-off Report, Comparison Panel",Yes,Make sure target is clear quantitatively,39
2,4.4.1 Solution Overview,Species Groups Protected,3. Species/Biodiversity,Number of species groups with adequate habitat protection,"Count (e.g., ""8 of 10"")",,Prioritizr solution output,✅ System-generated,COUNT(species groups meeting target threshold),Progress bar or fraction,Pending,Trade-off Report,Yes,,
3,4.4.1 Solution Overview,Threatened Species Secured,3. Species/Biodiversity,Count of threatened species with habitat targets met,Count,,"Prioritizr output, Species distribution layers, IUCN threat status",❓ Unknown,COUNT(threatened species where habitat target met),Badge with count,Pending,"Trade-off Report, AOI Dashboard",Yes,I don't know if we have species count data - we do have the data. Column sums of RIJ matrix. rredlist package we can match to species name,
4,4.4.1 Solution Overview,Ecosystem Coverage,4. Ecosystems,Area and percentage of key ecosystems within the solution,km² and %,,"Prioritizr output, Ecosystem type layer",❓ Unknown,SUM(solution area per ecosystem type),Bar chart by ecosystem,Pending,"Trade-off Report, AOI Dashboard",Yes,,
5,4.4.1 Solution Overview,Carbon Storage Capacity,5. Carbon,Total carbon stored in priority areas,tCO2e,,Carbon storage layer,❓ Unknown,SUM(carbon value × area) for solution pixels,Stat card with large number,Pending,"Trade-off Report, AOI Dashboard",Yes,,
6,4.4.1 Solution Overview,Water Regulation Services,6. Water,Hydrological regulation capacity of priority areas,m³ or index,,Water regulation layer,❓ Unknown,SUM or MEAN(water regulation index) for solution,Gauge or stat card,Pending,"Trade-off Report, AOI Dashboard",Maybe,Depends on if we have the data and how easy this is to compute.; if they have a priority layer that exists then it would just be %. Maybe check with the Mesa; would be a comparison metric rather than a base metric,
8,4.4.1 Solution Overview,Agricultural Opportunity Cost,2. Land Cover/Habitat,Economic value of agricultural production foregone,COP and USD (millions),,Agricultural opportunity cost layer,❓ Unknown,SUM(ag cost value × area) for solution pixels,"Stat card, currency format",Pending,"Trade-off Report, AOI Dashboard",Maybe,"Net benefit is included as a cost in the runs, so they may want this included - or maybe it doesn't make sense to include it",
9,4.4.1 Solution Overview,Affected Agricultural Area,2. Land Cover/Habitat,Area of agricultural land within conservation priorities,km² and %,,Land use layer,❓ Unknown,SUM(area where land use = agriculture) in solution,Bar chart or map overlay,Pending,Trade-off Report,Yes,,
13,4.4.1 Solution Overview,Conflict Zone Overlap,8. Conflict,Priority areas intersecting historical conflict zones,km²,,Conflict zones layer,❓ Unknown,SUM(solution area ∩ conflict zones),"Map overlay, stat card",Pending,"Trade-off Report, AOI Dashboard",Maybe,"Is there a difference between historical and current conflict zones? If yes, I don't think we need to include historical, just current. The ony conflict zone layer we have is coco-muertes - Kevin has used for some runs (raster layer) but the cost is so small that it dosn't seem worth it. Instead of using as a cost layer, we could just include as an output stat",
17,4.4.1 Solution Overview,National Contribution,1. General,Percentage of Colombia's territory in priority areas,% of Colombia,,"Prioritizr solution output, National boundary",✅ System-generated,Total solution area / Colombia total area × 100,Progress bar,Pending,"Trade-off Report, AOI Dashboard",Yes,Should be with #1; can we also include how much is added on top of how much is already there in place?,
18,4.4.2 AOI Dashboard,Priority Area in Region,1. General,Total area of conservation priorities within the AOI,km²,,"Prioritizr solution output, AOI boundary",✅ System-generated,SUM(solution area within AOI),Progress bar,Pending,Regional Report,Yes,,
